dataset,short_model,lr,rt_lambda,epoch,n_records,forget_entropy_max,forget_entropy_mean,forget_lmf_loss,forget_margin_max,forget_margin_mean,forget_max_softmax_prob_max,forget_max_softmax_prob_mean,forget_valid_tokens,retain_ce_current,retain_ce_delta_current_minus_oracle,retain_ce_oracle,retain_kl,retain_valid_tokens
openbook,LLaMA-3-3B,1.5e-05,1.0,0,19,3.206025713368466,1.2980342993610783,460.01112606650906,25.48696598253752,21.280861904746608,0.9801320684583563,0.6646805295818731,11.578947368421053,0.9719185848769388,0.0,0.9719185848769388,0.0,9.157894736842104
openbook,LLaMA-3-3B,1.5e-05,1.0,1,19,4.455291572370027,2.207026763966209,339.8463873612253,21.06187499196906,18.337771064356755,0.9323491297270122,0.5075173707384812,11.578947368421053,1.0126594744230573,0.040740901567532045,0.9719185848769388,0.019203308430549345,9.157894736842104
openbook,LLaMA-3-3B,1.5e-05,1.0,2,19,5.251279893674348,3.027490728779843,284.47748686137953,18.843559164749948,16.79165684549432,0.8531684624521356,0.40633159797442586,11.578947368421053,1.0541809844343286,0.0822624126939397,0.9719185848769388,0.050515751795549145,9.157894736842104
openbook,LLaMA-3-3B,1.5e-05,1.0,3,19,5.8407691654406095,3.6580727978756555,255.32837154990747,17.787517698187578,15.910919741580361,0.7818956712358877,0.33610616310646657,11.578947368421053,1.0785518657220037,0.10663327849224995,0.9719185848769388,0.07088098684815984,9.157894736842104
openbook,LLaMA-3-3B,1.5e-05,1.0,4,19,6.05303618782445,3.891660025245265,246.14746896844161,17.4590627268741,15.620580070897153,0.7528509411372637,0.31314415053317424,11.578947368421053,1.0907738993042393,0.11885531285875722,0.9719185848769388,0.07936535275688297,9.157894736842104
openbook,LLaMA-3-3B,1.5e-05,1.0,5,19,6.116701176292018,3.958250221453215,243.62623274953742,17.359118110255192,15.540180507459139,0.7423755848094037,0.3064582183172828,11.578947368421053,1.0901362268548263,0.11821764060541202,0.9719185848769388,0.08114049534656499,9.157894736842104
