model,dataset,lambda_label,n_steps,prediction_diff_steps_vs_lambda1,prediction_diff_rate_vs_lambda1,steps_with_higher_final_cot_step_logprob_than_lambda1,share_higher_final_cot_step_logprob_than_lambda1,avg_final_cot_step_logprob_delta_vs_lambda1,avg_specificity_drift_delta_vs_lambda1,answer_change_rate,lambda1_answer_change_rate_on_same_steps
LLaMA-3-3B,openbook,10.0,232,8,0.034482758620689655,223,0.9612068965517241,5.21875,-0.21551724137931033,0.3017241379310345,0.30603448275862066
LLaMA-3-3B,openbook,3.0,232,4,0.017241379310344827,165,0.7112068965517241,1.5237068965517242,-0.08189655172413793,0.2974137931034483,0.30603448275862066
LLaMA-3-3B,sqa,10.0,210,5,0.023809523809523808,202,0.9619047619047619,4.742857142857143,0.047619047619047616,0.24761904761904763,0.2619047619047619
LLaMA-3-3B,sqa,3.0,210,1,0.004761904761904762,145,0.6904761904761905,1.1976190476190476,0,0.2571428571428571,0.2619047619047619
Phi-3,openbook,10.0,172,2,0.011627906976744186,161,0.936046511627907,5.722383720930233,-0.03488372093023256,0.16279069767441862,0.1511627906976744
Phi-3,openbook,3.0,172,2,0.011627906976744186,147,0.8546511627906976,3.125,-0.0872093023255814,0.16279069767441862,0.1511627906976744
Phi-3,sqa,10.0,170,1,0.0058823529411764705,141,0.8294117647058824,1.2073529411764705,-0.06470588235294118,0.10588235294117647,0.1
Phi-3,sqa,3.0,170,1,0.0058823529411764705,129,0.7588235294117647,0.7191176470588235,-0.023529411764705882,0.10588235294117647,0.1
