dataset,short_model,lr,beta,rt_lambda,epoch,n_records,forget_entropy_mean,forget_margin_max,forget_margin_mean,forget_max_softmax_prob_max,forget_max_softmax_prob_mean,forget_valid_tokens,npo_delta,npo_grad_factor,npo_saturated,npo_success_sigmoid,positive_delta_top1_share,positive_delta_top20pct_share,positive_token_delta_fraction,residual_high_conf,retain_kl,retain_kl_masked,retain_kl_train_style,retain_valid_tokens,saturated_and_high_conf,target_token_nll_mean,target_token_prob_mean,token_delta_mean
sqa,LLaMA-3-3B,3e-05,0.1,1.0,0,106,1.1455866267096322,26.79396285650865,21.76533765612908,0.9910772347225333,0.7108471969950874,14.254716981132075,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.9716981132075472,0.0,0.0,0.0,12.650943396226415,0.0,0.9703652801800449,0.6628274138806001,0.0
sqa,LLaMA-3-3B,3e-05,0.1,1.0,1,106,1.6123561881623178,25.918041823045264,20.4684328403113,0.9771219908066515,0.6385195100644849,14.254716981132075,48.57839381919717,0.0449979884097905,0.7547169811320755,0.977501002685079,0.326704888270711,0.504058653594188,0.9262464533891215,0.8490566037735849,0.048219763397081,0.03386414017668873,0.048219763397081,12.650943396226415,0.6226415094339622,4.635602223423292,0.38321852480404006,3.6652369296775675
sqa,LLaMA-3-3B,3e-05,0.1,1.0,2,106,1.6568532617024656,26.713610703090453,20.53219179837209,0.976467784845604,0.6372040259950565,14.254716981132075,76.06790682954609,0.004790660794136106,0.9811320754716981,0.9976046698273353,0.28536923419473303,0.45109585124366686,0.9277638476377627,0.8490566037735849,0.04947556113771532,0.04758691131181242,0.04947556113771532,12.650943396226415,0.839622641509434,6.884749036914897,0.3237033555993068,5.914383807272281
sqa,LLaMA-3-3B,3e-05,0.1,1.0,3,106,1.670288472524229,26.94476393933566,20.550377467893206,0.9752528425657524,0.6359328671165232,14.254716981132075,82.29622164312399,0.002026621756162442,1.0,0.9989866889872641,0.276117205619812,0.4402085281205627,0.9281276487988488,0.8490566037735849,0.04561781693460806,0.044691967272709285,0.04561781693460806,12.650943396226415,0.8490566037735849,7.424803180514641,0.31080122502467966,6.454437899139692
sqa,LLaMA-3-3B,3e-05,0.1,1.0,4,106,1.667381636657805,27.04702564455428,20.576584330144918,0.9747414203747263,0.6365365286199551,14.254716981132075,84.2929046918761,0.0014915615601482745,1.0,0.9992542160007188,0.2733106482422577,0.4370142460431693,0.9296842525724337,0.8490566037735849,0.042484203105317954,0.04155105165258612,0.042484203105317954,12.650943396226415,0.8490566037735849,7.609407982736264,0.3070645387772359,6.639042699112083
sqa,LLaMA-3-3B,3e-05,0.1,1.0,5,106,1.6663307764057844,27.0467767355577,20.580865230200427,0.9744897580371713,0.6368480582001075,14.254716981132075,84.70575368629312,0.0014048451810034339,1.0,0.9992975721944053,0.27270443364977837,0.4363081304813331,0.929071045025264,0.8490566037735849,0.0414667503824809,0.04061142615051413,0.0414667503824809,12.650943396226415,0.8490566037735849,7.647030238835317,0.3064774396782082,6.676664975454223
