dataset,short_model,lr,rt_lambda,epoch,n_records,forget_entropy_max,forget_entropy_mean,forget_lmf_loss,forget_margin_max,forget_margin_mean,forget_max_softmax_prob_max,forget_max_softmax_prob_mean,forget_valid_tokens,retain_ce_current,retain_ce_delta_current_minus_oracle,retain_ce_oracle,retain_kl,retain_valid_tokens
sqa,LLaMA-3-3B,2.5e-05,1.0,0,30,3.1326451937357587,1.1047646721204123,487.8739756266276,26.78910878499349,21.889397303263348,0.9974396367867787,0.7174926102161407,13.2,0.9690975790222486,0.0,0.9690975790222486,0.0,13.3
sqa,LLaMA-3-3B,2.5e-05,1.0,1,30,5.8633572896321615,3.6275537411371865,259.2581064860026,18.022708129882812,16.036214764912923,0.7956203937530517,0.3576085994640986,13.2,1.1050702333450317,0.13597265838955838,0.9690975790222486,0.062051909510046244,13.3
sqa,LLaMA-3-3B,2.5e-05,1.0,2,30,8.101068766911824,5.970966911315918,184.32984364827473,15.36937255859375,13.486393197377522,0.4044508248567581,0.14841173961758614,13.2,1.1842815935611726,0.21518402720491092,0.9690975790222486,0.11945702141771714,13.3
sqa,LLaMA-3-3B,2.5e-05,1.0,3,30,8.836266120274862,6.747811476389567,162.25585199991863,14.552512296040852,12.63165667851766,0.29818212340275446,0.10201805705825488,13.2,1.214393792549769,0.24529623463749886,0.9690975790222486,0.14333895035088062,13.3
sqa,LLaMA-3-3B,2.5e-05,1.0,4,30,9.221784655253092,7.217246548334757,148.60686569213868,13.974532095591227,12.073405011494954,0.2363650212685267,0.0777945889160037,13.2,1.2245723803838093,0.25547479291756947,0.9690975790222486,0.1540472460910678,13.3
sqa,LLaMA-3-3B,2.5e-05,1.0,5,30,9.342557001113892,7.338182258605957,145.07177708943684,13.826134840647379,11.924224249521892,0.22085100213686626,0.07222367177406946,13.2,1.226943266391754,0.2578456920882066,0.9690975790222486,0.15700861935814223,13.3
