dataset,short_model,lr,beta,rt_lambda,epoch,n_records,forget_entropy_mean,forget_margin_max,forget_margin_mean,forget_max_softmax_prob_max,forget_max_softmax_prob_mean,forget_valid_tokens,npo_delta,npo_grad_factor,npo_saturated,npo_success_sigmoid,positive_delta_top1_share,positive_delta_top20pct_share,positive_token_delta_fraction,residual_high_conf,retain_kl,retain_kl_masked,retain_kl_train_style,retain_valid_tokens,saturated_and_high_conf,target_token_nll_mean,target_token_prob_mean,token_delta_mean
sqa,Phi-3,5e-05,0.1,1.0,0,14,1.0194349927561623,27.72798034123012,22.645627158028738,0.9987171973500933,0.7329402055059161,25.071428571428573,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.357142857142858,0.0,2.099035995347159,0.563111098749297,0.0
sqa,Phi-3,5e-05,0.1,1.0,1,14,1.0848829873970576,30.917048454284668,24.10401357923235,0.9991573052746909,0.6865253320762089,25.071428571428573,75.02402823311942,0.0062779672248975005,0.9285714285714286,0.9968610193048205,0.22291659776653563,0.5539483619587762,0.8911716738916867,1.0,0.14533991739153862,0.27992029461477486,0.14533991739153862,25.357142857142858,0.9285714285714286,5.74453832421984,0.3306834420987538,3.6455024821417674
sqa,Phi-3,5e-05,0.1,1.0,2,14,1.0902481888021742,31.7883791242327,24.52609498160226,0.9990661442279816,0.6821850410529545,25.071428571428573,93.08796637398856,0.0004317240351870818,1.0,0.9997841375214713,0.20647483319044113,0.534891203045845,0.9200566913132897,1.0,0.13427324566457952,0.27983601817062925,0.13427324566457952,25.357142857142858,1.0,7.000792026519775,0.2843759570802961,4.901756337710789
sqa,Phi-3,5e-05,0.1,1.0,3,14,1.0874959571020943,32.043906348092214,24.738413538251603,0.9991355836391449,0.6832098194531032,25.071428571428573,104.01858084542411,0.00013994394551884528,1.0,0.999930032661983,0.19806402336273873,0.5212838734899249,0.9244666292014883,1.0,0.11273340189031192,0.23192005365022592,0.11273340189031192,25.357142857142858,1.0,7.630489008767264,0.2559633489165987,5.531452775001526
sqa,Phi-3,5e-05,0.1,1.0,4,14,1.086595458643777,32.17738601139614,24.79595034463065,0.9988775551319122,0.6813378972666604,25.071428571428573,106.84483446393695,0.00010513950765909743,1.0,0.9999474244458335,0.19597117389951432,0.5178342546735492,0.9244666292014883,1.0,0.11044263068054404,0.22322530059942178,0.11044263068054404,25.357142857142858,1.0,7.795902081898281,0.2478994115122727,5.696866035461426
sqa,Phi-3,5e-05,0.1,1.0,5,14,1.0848760647433144,32.13278184618269,24.798984391348704,0.9988800883293152,0.6821624338626862,25.071428571428573,107.14010565621513,0.00010275324722946217,1.0,0.9999486207962036,0.1949771089213235,0.5161374488047191,0.929555914915774,1.0,0.10811287084860462,0.21710955857166223,0.10811287084860462,25.357142857142858,1.0,7.815284354346139,0.2478956521621772,5.7162483249391824
