dataset,model,lr,beta,rt_lambda,epoch,n_records,confident_replacement_target_le_0p3_rate,max_softmax_final_mean,npo_saturated_rate,residual_high_conf_rate,saturated_and_high_conf_rate,saturated_and_target_prob_gt_0p1_rate,saturated_and_target_prob_gt_0p2_rate,saturated_and_target_prob_gt_0p3_rate,saturated_and_target_prob_gt_0p5_rate,saturated_and_target_ratio_gt_0p25_rate,saturated_and_target_ratio_gt_0p5_rate,saturated_and_target_ratio_gt_0p75_rate,target_prob_drop_mean,target_prob_epoch0_mean,target_prob_final_mean,target_prob_ratio_final_over_initial
openbook,LLaMA-3-3B,3e-05,0.1,1.0,5,97,0.422680412371134,0.6585363661198272,1.0,0.7628865979381443,0.7628865979381443,0.8144329896907216,0.5463917525773195,0.3402061855670103,0.09278350515463918,0.711340206185567,0.27835051546391754,0.020618556701030927,0.3745908418860758,0.6264124426645102,0.2518216007784344,0.3814122575039999
openbook,Phi-3,0.0001,0.1,1.0,5,86,0.9534883720930233,0.7352732475413832,1.0,0.9883720930232558,0.9883720930232558,0.7209302325581395,0.18604651162790697,0.03488372093023256,0.0,0.45348837209302323,0.0,0.0,0.4393893248597187,0.5832211628209713,0.1438318379612526,0.24350944976145047
sqa,LLaMA-3-3B,3e-05,0.1,1.0,5,106,0.36792452830188677,0.6368480582001075,1.0,0.8490566037735849,0.8490566037735849,0.9150943396226415,0.7924528301886793,0.4811320754716981,0.10377358490566038,0.839622641509434,0.37735849056603776,0.04716981132075472,0.3563499742023919,0.6628274138806001,0.3064774396782082,0.4481310924819398
sqa,Phi-3,5e-05,0.1,1.0,5,94,0.5319148936170213,0.700352189705727,1.0,0.9893617021276596,0.9893617021276596,0.9787234042553191,0.7872340425531915,0.4574468085106383,0.02127659574468085,0.9574468085106383,0.40425531914893614,0.010638297872340425,0.32261530611109224,0.6161821408474699,0.2935668347363776,0.46923461636067804
