dataset,short_model,lr,rt_lambda,epoch,n_records,forget_entropy_max,forget_entropy_mean,forget_lmf_loss,forget_margin_max,forget_margin_mean,forget_max_softmax_prob_max,forget_max_softmax_prob_mean,forget_valid_tokens,retain_ce_current,retain_ce_delta_current_minus_oracle,retain_ce_oracle,retain_kl,retain_valid_tokens
sqa,Phi-3,6e-05,1.0,0,1,3.814666748046875,1.1924498081207275,478.03485107421875,28.294958114624023,21.723371505737305,0.9998843669891357,0.6856485605239868,20.0,2.114717721939087,0.0,2.114717721939087,0.0,16.0
sqa,Phi-3,6e-05,1.0,1,1,5.504373550415039,2.673199415206909,249.7563934326172,18.268695831298828,15.76297664642334,0.9462985992431641,0.48881301283836365,20.0,2.1222589015960693,0.007541172206401825,2.114717721939087,0.5395441651344299,16.0
sqa,Phi-3,6e-05,1.0,2,1,7.848945617675781,5.12648868560791,163.6753387451172,15.012460708618164,12.719634056091309,0.5890605449676514,0.24270401895046234,20.0,2.702031135559082,0.587313175201416,2.114717721939087,1.3160521984100342,16.0
sqa,Phi-3,6e-05,1.0,3,1,8.411396026611328,6.858952522277832,118.53165435791016,13.306816101074219,10.800763130187988,0.36184126138687134,0.10344996303319931,20.0,3.0373952388763428,0.9226775169372559,2.114717721939087,1.7301726341247559,16.0
sqa,Phi-3,6e-05,1.0,4,1,8.60795783996582,7.4000701904296875,103.17535400390625,11.865499496459961,10.078339576721191,0.17075581848621368,0.06610279530286789,20.0,3.2176952362060547,1.1029775142669678,2.114717721939087,1.9306697845458984,16.0
sqa,Phi-3,6e-05,1.0,5,1,8.671464920043945,7.536637306213379,98.5474853515625,11.577564239501953,9.851167678833008,0.14076082408428192,0.05648113414645195,20.0,3.310606002807617,1.1958882808685303,2.114717721939087,2.008634328842163,16.0
