lambda_label,model,dataset,faithfulness,efficacy,specificity,answer_change_rate,delta_faithfulness,delta_efficacy,delta_specificity,delta_answer_change_rate,average_mass_shift,max_mass_shift,n_instances,n_cot_steps,agreeing_instances,changed_instances,filename,path
0.1,Phi-3,openbook,37.5,82.84883570840698,94.1046511627907,12.738853503184714,2.5,1.4202324223333562e-06,-0.46511627906976116,0.6369426751592364,0.08945097111854053,0.10624418978367371,40,172,157,20,npo_KL_sentencize_s=True_lr=0.0001_lambda=0.1_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=0.1/openbook/Phi-3/npo_KL_sentencize_s=True_lr=0.0001_lambda=0.1_rs=1001_pos=True_ff2=True.out
0.3,Phi-3,openbook,35.0,82.84883357168478,94.3953488372093,12.101910828025478,0.0,-7.164897795064462e-07,-0.17441860465116577,0.0,0.08895291820015366,0.1043361914035311,40,172,157,19,npo_KL_sentencize_s=True_lr=0.0001_lambda=0.3_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=0.3/openbook/Phi-3/npo_KL_sentencize_s=True_lr=0.0001_lambda=0.3_rs=1001_pos=True_ff2=True.out
1.0,Phi-3,openbook,35.0,82.84883428817456,94.56976744186046,12.101910828025478,0.0,0.0,0.0,0.0,0.08900535663325061,0.10441952001088332,40,172,157,19,npo_KL_sentencize_s=True_lr=0.0001_lambda=1.0_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=1.0/openbook/Phi-3/npo_KL_sentencize_s=True_lr=0.0001_lambda=1.0_rs=1001_pos=True_ff2=True.out
3.0,Phi-3,openbook,37.5,82.84883190761899,94.94186046511628,12.738853503184714,2.5,-2.3805555713352078e-06,0.3720930232558146,0.6369426751592364,0.09068338196696411,0.10676980796014081,40,172,157,20,npo_KL_sentencize_s=True_lr=0.0001_lambda=3.0_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=3.0/openbook/Phi-3/npo_KL_sentencize_s=True_lr=0.0001_lambda=3.0_rs=1001_pos=True_ff2=True.out
10.0,Phi-3,openbook,37.5,82.84876443581074,94.69767441860465,12.738853503184714,2.5,-6.985236382206494e-05,0.12790697674418539,0.6369426751592364,0.09569859068797874,0.11390234420066545,40,172,157,20,npo_KL_sentencize_s=True_lr=0.0001_lambda=10.0_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=10.0/openbook/Phi-3/npo_KL_sentencize_s=True_lr=0.0001_lambda=10.0_rs=1001_pos=True_ff2=True.out
0.0,Phi-3,sqa,25.0,81.64386573171983,96.8,10.714285714285714,0.0,-0.0035609054849885524,-0.38823529411764923,-1.4285714285714288,0.03415934585443893,0.04910846184110991,40,170,140,15,npo_KL_sentencize_s=True_lr=5e-05_lambda=0.0_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=0.0/sqa/Phi-3/npo_KL_sentencize_s=True_lr=5e-05_lambda=0.0_rs=1001_pos=True_ff2=True.out
0.1,Phi-3,sqa,25.0,81.43674012680376,96.85882352941177,11.428571428571429,0.0,-0.2106865104010609,-0.3294117647058812,-0.7142857142857135,0.034769520164614334,0.04838435557876459,40,170,140,16,npo_KL_sentencize_s=True_lr=5e-05_lambda=0.1_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=0.1/sqa/Phi-3/npo_KL_sentencize_s=True_lr=5e-05_lambda=0.1_rs=1001_pos=True_ff2=True.out
0.3,Phi-3,sqa,25.0,81.75691834568735,96.88235294117646,12.142857142857142,0.0,0.10949170848253686,-0.3058823529411825,0.0,0.035283531565917604,0.05008818065352551,40,170,140,17,npo_KL_sentencize_s=True_lr=5e-05_lambda=0.3_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=0.3/sqa/Phi-3/npo_KL_sentencize_s=True_lr=5e-05_lambda=0.3_rs=1001_pos=True_ff2=True.out
1.0,Phi-3,sqa,25.0,81.64742663720482,97.18823529411765,12.142857142857142,0.0,0.0,0.0,0.0,0.03541095546041402,0.04864702452100335,40,170,140,17,npo_KL_sentencize_s=True_lr=5e-05_lambda=1.0_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=1.0/sqa/Phi-3/npo_KL_sentencize_s=True_lr=5e-05_lambda=1.0_rs=1001_pos=True_ff2=True.out
3.0,Phi-3,sqa,25.0,81.13060570909077,97.51764705882353,12.142857142857142,0.0,-0.5168209281140435,0.3294117647058812,0.0,0.0362344730244404,0.04986608421245643,40,170,140,17,npo_KL_sentencize_s=True_lr=5e-05_lambda=3.0_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=3.0/sqa/Phi-3/npo_KL_sentencize_s=True_lr=5e-05_lambda=3.0_rs=1001_pos=True_ff2=True.out
10.0,Phi-3,sqa,25.0,80.38903755545442,97.96470588235294,12.142857142857142,0.0,-1.2583890817503942,0.7764705882352985,0.0,0.04046118856072193,0.054076689357945976,40,170,140,17,npo_KL_sentencize_s=True_lr=5e-05_lambda=10.0_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=10.0/sqa/Phi-3/npo_KL_sentencize_s=True_lr=5e-05_lambda=10.0_rs=1001_pos=True_ff2=True.out
