spec_threshold,dataset,model,paired_steps,both_valid_steps,npo_valid_steps,adv_valid_steps,both_valid_rate,npo_valid_rate,adv_valid_rate,npo_ffhard_both_valid,adv_ffhard_both_valid,npo_ffsoft_both_valid,adv_ffsoft_both_valid,delta_ffsoft_both_valid
0.9,openbook,LLaMA-3-3B,197,138,140,151,0.700507614213198,0.7106598984771574,0.766497461928934,0.3188405797101449,0.3115942028985507,0.18608937576665613,0.18646141715060893,0.00037204138395280443
0.9,openbook,Phi-3,157,138,142,144,0.8789808917197452,0.9044585987261147,0.9171974522292994,0.11594202898550725,0.10869565217391304,0.08074729353059061,0.07630619402782388,-0.0044410995027667245
0.9,sqa,LLaMA-3-3B,161,115,123,120,0.7142857142857143,0.7639751552795031,0.7453416149068323,0.19130434782608696,0.20869565217391303,0.07897442982923061,0.0829836645368015,0.00400923470757089
0.9,sqa,Phi-3,140,140,140,140,1.0,1.0,1.0,0.11428571428571428,0.10714285714285714,0.03773723521378974,0.04021523993622348,0.0024780047224337363
1.0,openbook,LLaMA-3-3B,197,36,44,40,0.18274111675126903,0.2233502538071066,0.20304568527918782,0.3055555555555556,0.3055555555555556,0.20205023199455466,0.2169692636176246,0.01491903162306996
1.0,openbook,Phi-3,157,74,85,83,0.4713375796178344,0.5414012738853503,0.5286624203821656,0.14864864864864866,0.12162162162162163,0.09919302985633645,0.09011822034881863,-0.009074809507517826
1.0,sqa,LLaMA-3-3B,161,58,70,61,0.36024844720496896,0.43478260869565216,0.37888198757763975,0.1206896551724138,0.15517241379310345,0.03298991942136856,0.042637329598804605,0.009647410177436054
1.0,sqa,Phi-3,140,94,102,101,0.6714285714285714,0.7285714285714285,0.7214285714285714,0.1276595744680851,0.1276595744680851,0.0400997738162417,0.04289714935413806,0.0027973755378963615
