slice,n,npo_ffhard,adv_ffhard,npo_ffsoft,adv_ffsoft,delta_ffsoft,delta_eff,delta_spec
has_option_eval=True,91,0.15384615384615385,0.17582417582417584,0.08454707025194834,0.08713353408316066,0.0025864638312123192,0.00299483793768583,0.00989010989010989
has_option_eval=False,564,0.21453900709219859,0.2127659574468085,0.11855080832977925,0.11874210070625556,0.00019129237647630615,-0.001998714087224404,-0.0012411347517730486
has_negation=True,193,0.20725388601036268,0.19689119170984457,0.10391994952133958,0.10393748986486992,1.7540343530348785e-05,-0.007780648789266883,0.0005181347150259066
has_negation=False,462,0.20562770562770563,0.21212121212121213,0.11796512777771484,0.11870078107354083,0.000735653295825975,0.001400261306197739,0.00021645021645021783
has_conclusion=True,35,0.14285714285714285,0.17142857142857143,0.08853654395869888,0.09138328573670894,0.0028467417780100534,0.00777909305108851,0.0028571428571428597
has_conclusion=False,620,0.20967741935483872,0.20967741935483872,0.11525429072962635,0.11564722806308216,0.0003929373334558159,-0.0018177624994407274,0.00016129032258064603
is_short=True,66,0.16666666666666666,0.16666666666666666,0.08212555384224152,0.0835511115399614,0.0014255576977198969,0.010767539889753952,0.007575757575757578
is_short=False,589,0.21052631578947367,0.21222410865874364,0.11737886712620518,0.11780190668634687,0.00042303956014167154,-0.0026577285663648793,-0.0005093378607809838
