method,dataset,model,rows,bad_json,agree_steps,agree_instances,eff_final,eff_mean,spec_final,spec_mean,step_ffhard_final,step_ffhard_any,inst_ffhard_final,inst_ffhard_any,ffsoft_final_mean,ffsoft_final_median,ffsoft_mean_epoch_mean,raw_answer_ratio_final_median,newcot_matches_direct_all,newcot_changed_all,newcot_matches_direct_when_direct_changed,newcot_changed_when_direct_changed,n_direct_changed_for_newcot,corr_eff_ffsoft,bin_negative,bin_neutral,bin_moderate,bin_high
npo_KL,openbook,LLaMA-3-3B,236,0,198,36,0.9963856769041638,0.9933149646560502,0.8888888888888888,0.9005050505050506,0.2676767676767677,0.2828282828282828,0.6111111111111112,0.6111111111111112,0.15043943540184684,0.006417557526710915,0.13620650187372788,1.0021129163104032,0.8434343434343434,0.2676767676767677,0.6037735849056604,0.8113207547169812,53,0.04175046933965991,11,127,21,39
npo_KL,openbook,Phi-3,178,0,163,37,0.9999999964961475,0.9999999653104451,0.941717791411043,0.9462576687116565,0.12269938650306748,0.12883435582822086,0.2972972972972973,0.2972972972972973,0.08556845325708805,-0.0020382515911935295,0.07502075700611381,0.00026120811325340744,0.9079754601226994,0.09815950920245399,0.45,0.6,20,0.023211067983354244,1,138,7,17
npo_KL,sqa,LLaMA-3-3B,210,0,161,33,0.999967406539273,0.9998091379357243,0.9180124223602485,0.9217391304347826,0.2981366459627329,0.3105590062111801,0.696969696969697,0.696969696969697,0.1643395586769651,0.08651592927722207,0.14992060837054022,1.0056593316968638,0.7267080745341615,0.2857142857142857,0.5208333333333334,0.5208333333333334,48,0.04373141164518479,7,103,24,27
npo_KL,sqa,Phi-3,170,0,140,34,0.988377377910118,0.9825777701304655,0.9728571428571428,0.9700000000000001,0.11428571428571428,0.12142857142857143,0.2647058823529412,0.2647058823529412,0.03773723521378974,-0.0015717304330097326,0.03208788201557242,0.1158338917808436,0.9142857142857143,0.15714285714285714,0.8125,0.8125,16,0.02525191644735326,3,127,7,3
lmf_KL,openbook,LLaMA-3-3B,232,0,197,36,0.9999963149691012,0.8711032298439119,0.8644670050761422,0.8839593908629443,0.38578680203045684,0.40609137055837563,0.6666666666666666,0.7222222222222222,0.3578251636994991,0.3391919754873042,0.3175397087969237,0.9480544985986594,0.6243654822335025,0.38071065989847713,0.3815789473684211,0.631578947368421,76,-0.015046147578429292,0,76,59,62
lmf_KL,openbook,Phi-3,172,0,157,37,0.9999998245497621,0.974277852649353,0.775796178343949,0.7943949044585987,0.35668789808917195,0.36942675159235666,0.6216216216216216,0.6216216216216216,0.40122004618937906,0.3786450619208849,0.3606907144485341,49.010977034597246,0.8152866242038217,0.3630573248407643,0.6785714285714286,0.8214285714285714,56,-0.14307593859009082,0,63,33,61
lmf_KL,sqa,LLaMA-3-3B,210,0,161,33,0.9999973238798885,0.9969492680949034,0.9229813664596273,0.9237267080745342,0.30434782608695654,0.32919254658385094,0.6666666666666666,0.696969696969697,0.202726932017142,0.16224838066494707,0.1891049784618017,0.9405915538649119,0.7453416149068323,0.39751552795031053,0.7346938775510204,0.7346938775510204,49,0.06318803261812654,3,104,31,23
lmf_KL,sqa,Phi-3,170,0,140,34,0.9943346829102422,0.30915468729765305,0.9314285714285715,0.9335714285714285,0.11428571428571428,0.12857142857142856,0.20588235294117646,0.2647058823529412,0.12383973357555411,0.08786633042003833,0.1026808656755238,5.069729378221224,0.8285714285714286,0.21428571428571427,0.6875,0.6875,16,0.008934513910413729,0,119,15,6
