method,label,dataset,model,rows,bad_json,agree_steps,agree_instances,eff_final,eff_mean_epoch,cot_eff_final,spec_final,spec_mean_epoch,step_ffhard_final,step_ffhard_any_epoch,inst_ffhard_final,inst_ffhard_any_epoch,ffsoft_final_mean,ffsoft_final_median,ffsoft_mean_epoch_mean,raw_answer_ratio_final_median,newcot_matches_direct_all,newcot_changed_all,newcot_matches_direct_when_direct_changed,newcot_changed_when_direct_changed,n_direct_changed_for_newcot,corr_eff_ffsoft,bin_negative,bin_neutral,bin_moderate,bin_high
npo_KL,NPO+KL,openbook,LLaMA-3-3B,236,0,198,36,0.9963856769041638,0.9933149646560502,0.9714275311833879,0.8888888888888888,0.9005050505050506,0.2676767676767677,0.2828282828282828,0.6111111111111112,0.6111111111111112,0.15043943540184684,0.006417557526710915,0.13620650187372788,1.0021129163104032,0.8434343434343434,0.2676767676767677,0.6037735849056604,0.8113207547169812,53,0.04175046933965991,11,127,21,39
npo_KL,NPO+KL,openbook,Phi-3,178,0,163,37,0.9999999964961475,0.9999999653104451,0.9999847748899874,0.941717791411043,0.9462576687116565,0.12269938650306748,0.12883435582822086,0.2972972972972973,0.2972972972972973,0.08556845325708805,-0.0020382515911935295,0.07502075700611381,0.00026120811325340744,0.9079754601226994,0.09815950920245399,0.45,0.6,20,0.023211067983354244,1,138,7,17
npo_KL,NPO+KL,sqa,LLaMA-3-3B,210,0,161,33,0.999967406539273,0.9998091379357243,0.9997589953771201,0.9180124223602485,0.9217391304347826,0.2981366459627329,0.3105590062111801,0.696969696969697,0.696969696969697,0.1643395586769651,0.08651592927722207,0.14992060837054022,1.0056593316968638,0.7267080745341615,0.2857142857142857,0.5208333333333334,0.5208333333333334,48,0.04373141164518479,7,103,24,27
npo_KL,NPO+KL,sqa,Phi-3,170,0,140,34,0.988377377910118,0.9825777701304655,0.9973332559972972,0.9728571428571428,0.9700000000000001,0.11428571428571428,0.12142857142857143,0.2647058823529412,0.2647058823529412,0.03773723521378974,-0.0015717304330097326,0.03208788201557242,0.1158338917808436,0.9142857142857143,0.15714285714285714,0.8125,0.8125,16,0.02525191644735326,3,127,7,3
advnpo_KL,AdvNPO+KL,openbook,LLaMA-3-3B,232,0,197,36,0.9979469706965017,0.9946842542486276,0.972206000669944,0.8939086294416243,0.9057868020304568,0.27918781725888325,0.2893401015228426,0.5833333333333334,0.5833333333333334,0.15194023372449322,0.007673736870135506,0.1363290352423565,1.0020284688907888,0.8121827411167513,0.28426395939086296,0.6181818181818182,0.7272727272727273,55,0.028668855889804563,11,126,22,38
advnpo_KL,AdvNPO+KL,openbook,Phi-3,172,0,157,37,0.9999999951105051,0.9999999630981347,0.9999842003846563,0.9439490445859872,0.9503184713375795,0.10828025477707007,0.10828025477707007,0.2972972972972973,0.2972972972972973,0.08077556714932935,-0.00194906700540598,0.07028697713424609,0.00026146046792912,0.9235668789808917,0.09554140127388536,0.5294117647058824,0.6470588235294118,17,-0.1631647059220248,1,134,7,15
advnpo_KL,AdvNPO+KL,sqa,LLaMA-3-3B,210,0,161,33,0.9999581492348683,0.9998064066148105,0.9997590626737064,0.9118012422360249,0.9181366459627329,0.30434782608695654,0.32298136645962733,0.696969696969697,0.7272727272727273,0.16556256349474904,0.08056856540405877,0.1514982538682629,1.0048289279427607,0.7018633540372671,0.3167701863354037,0.5306122448979592,0.5306122448979592,49,0.043453599879452,7,103,22,29
advnpo_KL,AdvNPO+KL,sqa,Phi-3,170,0,140,34,0.9800599274064066,0.969746415989329,0.9956484139621563,0.9721428571428571,0.9715714285714286,0.10714285714285714,0.11428571428571428,0.2647058823529412,0.29411764705882354,0.04021523993622348,-0.0009730039232911936,0.03311126481317384,0.10581977902316467,0.8928571428571429,0.14285714285714285,0.6666666666666666,0.6666666666666666,15,0.040722818604268116,3,125,8,4
