group,dataset,model,method,lr,filename,n_instances,n_agree_instances,n_step_results,n_agree_step_results,ff_hard,faithfulness_author_all,faithfulness_paper_agree,ff_soft,specificity,efficacy,efficacy_normalizer,ff_hard_all,ff_soft_all,specificity_agree,efficacy_agree,efficacy_post,efficacy_agree_post,efficacy_including_baseline,efficacy_agree_including_baseline,ff_hard_flipped_instances,ff_hard_denominator,ff_hard_all_flipped_instances,ff_hard_all_denominator,faithfulness_author_flipped_instances,faithfulness_author_denominator,faithfulness_paper_flipped_instances,faithfulness_paper_denominator,ff_soft_n,ff_soft_all_n,specificity_n,specificity_agree_n,efficacy_n,efficacy_agree_n,answer_change_rate_agreeing,agreeing_step_rows,agreeing_changed_instances,path
,openbook,LLaMA-3-3B,npo_KL,3e-05,npo_KL_sentencize_s=True_lr=3e-05_rs=1001_pos=True_ff2=True.out,230,170,1308,922,69.41176470588235,74.34782608695653,69.41176470588235,0.1618539993431481,95.25840978593273,30.197007588814056,text_estimate_cpt=3.5,74.34782608695653,0.1419714125392062,95.29934924078091,31.85550997879282,30.197007588814056,31.85550997879282,25.16417299067838,26.546258315660683,118,170,171,230,171,230,118,170,922,1308,1308,922,1308,922,69.41176470588235,922,118,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\final_results\openbook\LLaMA-3-3B\npo_KL_sentencize_s=True_lr=3e-05_rs=1001_pos=True_ff2=True.out
,openbook,Phi-3,npo_KL,0.0001,npo_KL_sentencize_s=True_lr=0.0001_rs=1001_pos=True_ff2=True.out,230,199,959,825,46.733668341708544,51.73913043478261,46.733668341708544,0.11957675259882554,99.46089676746611,45.82781005803494,already_normalized,51.73913043478261,0.11985904914580908,99.49575757575758,45.597898029775365,45.82781005803494,45.597898029775365,38.18984171502911,37.998248358146135,93,199,119,230,119,230,93,199,825,959,959,825,959,825,46.733668341708544,825,93,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\final_results\openbook\Phi-3\npo_KL_sentencize_s=True_lr=0.0001_rs=1001_pos=True_ff2=True.out
,sqa,LLaMA-3-3B,npo_KL,3e-05,npo_KL_sentencize_s=True_lr=3e-05_rs=1001_pos=True_ff2=True.out,230,171,1228,895,66.08187134502924,66.52173913043478,66.08187134502924,0.12263776927554544,96.56514657980456,37.55869558856689,already_normalized,66.52173913043478,0.09671709282953206,96.46368715083798,38.12908933875245,37.55869558856689,38.12908933875245,31.298912990472406,31.774241115627046,113,171,153,230,153,230,113,171,895,1228,1228,895,1228,895,66.08187134502924,895,113,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\final_results\sqa\LLaMA-3-3B\npo_KL_sentencize_s=True_lr=3e-05_rs=1001_pos=True_ff2=True.out
,sqa,Phi-3,npo_KL,5e-05,npo_KL_sentencize_s=True_lr=5e-05_rs=1001_pos=True_ff2=True.out,230,184,999,774,23.369565217391305,26.08695652173913,23.369565217391305,0.03657827034635883,97.72472472472472,20.203736681907504,tokenizer,26.08695652173913,0.029236815807280072,97.74289405684755,20.737407681946337,20.203736681907504,20.737407681946337,16.836447234922918,17.281173068288613,43,184,60,230,60,230,43,184,774,999,999,774,999,774,23.369565217391305,774,43,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\final_results\sqa\Phi-3\npo_KL_sentencize_s=True_lr=5e-05_rs=1001_pos=True_ff2=True.out
